Title,Authors_with_affiliations,Conf,Year,Cited_by
RBNBC: Repeat based naive bayes classifier for biological sequences,"Rani, P., Center for Data Engineering, IIIT Hyderabad, India; Pudi, V., Center for Data Engineering, IIIT Hyderabad, India",ICDM,2008,1
Sparse maximum margin logistic regression for credit scoring,"Patra, S., Department of Ind. and Mgt. Engineering, Indian Institute of Technology, Kanpur, India; Shanker, K., Department of Ind. and Mgt. Engineering, Indian Institute of Technology, Kanpur, India; Kundu, D., Department of Math. and Stat., Indian Institute of Technology, Kanpur, India",ICDM,2008,1
Pattern mining as abduction from snapshots to spatio-temporal sequential patterns,"Hazarika, S.M., Department of Computer Science and Engineering, Tezpur University, Tezpur, India",ICDM,2007,1
Accelerating Newton optimization for log-linear models through feature redundancy,"Mathur, A., IIT Bombay, India; Chakrabarti, S., IIT Bombay, India",ICDM,2006,1
Understanding Helicoverpa armigera pest population dynamics related to chickpea crop using neural networks,"Gupta, R., IIIT, Hyderabad, India; Narayana, B.V.L., IIIT, Hyderabad, India; Reddy, P.K., IIIT, Hyderabad, India; Rao, G.V.R., ICRISAT, Patancheru, India; Gowda, C.L.L., ICRISAT, Patancheru, India; Reddy, Y.V.R., ICRISAT, Patancheru, India; Murthy, G.R., IIIT, Hyderabad, India",ICDM,2003,1
A mobility simulation framework of humans with group behavior modeling,"Gupta, A., Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India; Mishra, A., Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India; Vadlamudi, S.G., Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India; Chakrabarti, P.P., Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India; Sarkar, S., Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India; Mukherjee, T., Xerox Corporation, United States; Gnanasambandam, N., Xerox Corporation, United States",ICDM,2013,
Generative maximum entropy learning for multiclass classification,"Dukkipati, A., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India; Pandey, G., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India; Ghoshdastidar, D., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India; Koley, P., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India; Sriram, D.M.V.S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India",ICDM,2013,
Large-scale elastic net regularized linear classification SVMs and logistic regression,"Balamurugan, P., Computer Science and Automation, Indian Institute of Science, Bangalore, India",ICDM,2013,
BiETopti-BiClustering ensemble using optimization techniques,"Aggarwal, G., Department of Computer Science, University of Delhi, Delhi - 110007, India; Gupta, N., Department of Computer Science, University of Delhi, Delhi - 110007, India",ICDM,2013,
Sequential alternating proximal method for scalable sparse structural SVMs,"Balamurugan, P., Computer Science and Automation, Indian Institute of Science, Bangalore, India; Shevade, S., Computer Science and Automation, Indian Institute of Science, Bangalore, India; Babu, T.R., E-Com Research Lab., Education and Research Infosys Ltd., India",ICDM,2012,
Active evaluation of classifiers on large datasets,"Katariya, N., IIT Bombay, India; Iyer, A., Yahoo Research, United States; Sarawagi, S., IIT Bombay, India",ICDM,2012,
A classification based framework for concept summarization,"Mahajan, D., Microsoft Research India, India; Sellamanickam, S., Microsoft Research India, India; Sanyal, S., American Express Bangalore, India; Madaan, A., TheFind, Mountain View, United States",ICDM,2012,
High performance offline & online distributed collaborative filtering,"Narang, A., IBM India Research Laboratory, New Delhi, India; Srivastava, A., IBM India Research Laboratory, New Delhi, India; Katta, N.P.K., Princeton University, NJ, United States",ICDM,2012,
Efficient episode mining of dynamic event streams,"Patnaik, D., Amazon.com, Seattle, WA 98109, United States; Laxman, S., Microsoft Research, Bangalore, 560080, India; Chandramouli, B., Microsoft Research, Redmond, WA 98052, United States; Ramakrishnan, N., Department of Computer Science, Virginia Tech, Blacksburg, VA 24061, United States",ICDM,2012,
IceCube: Efficient targeted mining in data cubes,"Harsola, S.K., Indian Institute of Science, Bangalore 560012, India; Deshpande, P.M., IBM Research India, Bangalore 560045, India; Haritsa, J.R., Indian Institute of Science, Bangalore 560012, India",ICDM,2012,
Topic models over spoken language,"Pansare, N., Department of Computer Science, Rice University, United States; Jermaine, C., Department of Computer Science, Rice University, United States; Haas, P., IBM Research, Almaden, United States; Rajput, N., IBM Research, New Delhi, India",ICDM,2012,
Robust clustering using discriminant analysis,"Bhatnagar, V., Department of Computer Science, University of Delhi, India, IASRI, New Delhi, India; Ahuja, S., Department of Computer Science, University of Delhi, India, IASRI, New Delhi, India",ICDM,2010,
Improved IR in cohesion model for link detection system,"Lakshmi, Anna University, India; Mukherjee, S., Anna University, India",ICDM,2007,
A unified approach for discovery of interesting association rules in medical databases,"Kaur, H., Department of Mathematics, Jamia Millia Islamia, New Delhi-110025, India; Wasan, S.K., Department of Mathematics, Jamia Millia Islamia, New Delhi-110025, India; Al-Hegami, A.S., Department of Computer Science, Sana'a University, Sana'a, Yemen; Bhatnagar, V., Department of Computer Science, University of Delhi, New Delhi-110 007, India",ICDM,2006,
More generality in efficient multiple kernel learning,"Varma, M., Microsoft Research India, Second Main Road, Sadashiv Nagar, Bangalore 560 080, India; Babu, B.R., CVIT, International Institute of Information Technology Hyderabad, Gachibowli, Hyderabad 500 032, India",ICML,2009,67
Fast gradient-descent methods for temporal-difference learning with linear function approximation,"Sutton, R.S., Reinforcement Learning and Artificial Intelligence Laboratory, University of Alberta, Edmonton, AB, Canada; Maei, H.R., Reinforcement Learning and Artificial Intelligence Laboratory, University of Alberta, Edmonton, AB, Canada; Precup, D., School of Computer Science, McGill University, Montreal, QC, Canada; Bhatnagar, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Silver, D., Reinforcement Learning and Artificial Intelligence Laboratory, University of Alberta, Edmonton, AB, Canada; SzepesvÃ¡ri, C., Reinforcement Learning and Artificial Intelligence Laboratory, University of Alberta, Edmonton, AB, Canada; Wiewiora, E., Reinforcement Learning and Artificial Intelligence Laboratory, University of Alberta, Edmonton, AB, Canada",ICML,2009,49
Large scale max-margin multi-label classification with priors,"Hariharan, B., Department of Computer Science and Engineering, Indian Institute of Technology, Delhi, 110 016, India; Zelnik-Manor, L., Department of Electrical Engineering, Technion, Israel Institute of Technology, Haifa, 32000, Israel; Vishwanathan, S.V.N., Department of Statistics, Purdue University, West Lafayette, IN 47907-2066, United States; Varma, M., Microsoft Research India, Bangalore, 560 080, India",ICML,2010,24
Multi-instance tree learning,"Blockeel, H., Katholieke Universiteit Leuven, Department of Computer Science, Celestijnenlaan 200A, 3001 Leuven, Belgium; Page, D., Dept. of Biostatistics and Medical Informatics, Dept. of Computer Sciences, University of Wisconsin, Madison, WI, United States; Srinivasan, A., IBM India Research Laboratory, Indian Institute of Technology, Block 1, Hauz Khas, New Delhi, 110 016, India",ICML,2005,22
Toward off-policy learning control with function approximation,"Maei, H.R., Department of Computing Science, University of Alberta, Edmonton, T6G 2E8, Canada; Szepesvari, C., Department of Computing Science, University of Alberta, Edmonton, T6G 2E8, Canada; Bhatnagar, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India; Sutton, R.S., Department of Computing Science, University of Alberta, Edmonton, T6G 2E8, Canada",ICML,2010,19
PAC subset selection in stochastic multi-armed bandits,"Kalyanakrishnan, S., Yahoo Labs Bangalore, Bengaluru Karnataka 560071, India; Tewari, A., Department of Computer Science, University of Texas at Austin, Austin, TX 78701, United States; Auer, P., Department of Information Technology, University of Leoben, Leoben 8700, Austria; Stone, P., Department of Computer Science, University of Texas at Austin, Austin, TX 78701, United States",ICML,2012,7
"A model for handling approximate, noisy or incomplete labeling in text classification","Ramakrishnan, G., IBM India Research Lab., IIT, New Delhi, India; Chitrapura, K.P., IBM India Research Lab., IIT, New Delhi, India; Krishnapuram, R., IBM India Research Lab., IIT, New Delhi, India; Bhattacharyya, P., Department of C.S.E, IIT Bombay, Mumbai, India",ICML,2005,6
Efficient rule ensemble learning using hierarchical kernels,"Jawanpuria, P., Dept. of CSE, IIT-Bombay, Mumbai, India; Nath, J.S., Dept. of CSE, IIT-Bombay, Mumbai, India; Ramakrishnan, G., Dept. of CSE, IIT-Bombay, Mumbai, India",ICML,2011,5
Efficient inference with cardinality-based clique potentials,"Gupta, R., IBM Research Lab., New Delhi, India; Diwan, A.A., IIT Bombay, India; Sarawagi, S., IIT Bombay, India",ICML,2007,4
Robust formulations for handling uncertainty in kernel matrices,"Bhadra, S., Department of CSA, Indian Institute of Science, India; Bhattacharya, S., Yahoo Labs, Bangalore, India; Bhattacharyya, C., Department of CSA, Indian Institute of Science, India; Ben-Tal, A., Faculty of Industrial Engg. and Management, Technion, Haifa, Israel",ICML,2010,2
A structural SVM based approach for optimizing partial AUC,"Narasimhan, H., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",ICML,2013,1
Thompson sampling for contextual bandits with linear payoffs,"Agrawal, S., Microsoft Research India, India; Goyal, N., Microsoft Research India, India",ICML,2013,1
More generality in efficient multiple kernel learning,"Varma, M., Microsoft Research India, Second Main Road, Sadashiv Nagar, Bangalore 560 080, India; Babu, B.R., CVIT, International Institute of Information Technology Hyderabad, Gachibowli, Hyderabad 500 032, India",ICML,2009,1
Multiclass core vector machine,"Asharaf, S., Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Murty, M.N., Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Shevade, S.K., Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India",ICML,2007,1
Efficient inference on sequence segmentation models,"Sarawagi, S., IIT Bombay, India",ICML,2006,1
Efficient inference on sequence segmentation models,"Sarawagi, S., IIT Bombay, India",ICML,2006,1
Learning by stretching deep networks,"Pandey, G., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Dukkipati, A., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",ICML,2014,
Large-scale multi-label learning with missing labels,"Yu, H.-F., Department of Computer Science, University of Texas at Austin, United States; Jain, P., Microsoft Research India, Bangalore, India; Kar, P., Microsoft Research India, Bangalore, India; Dhillon, I.S., Department of Computer Science, University of Texas at Austin, United States",ICML,2014,
Global graph kernels using geometric embeddings,"Johansson, F.D., Chalmers University of Technology, Gothenburg, Sweden; Jethava, V., Chalmers University of Technology, Gothenburg, Sweden; Dubhashi, D., Chalmers University of Technology, Gothenburg, Sweden; Bhattacharyya, C., Indian Institute of Science, Bangalore, Karnataka, India",ICML,2014,
